stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Downstream,2001,219668.1764984131,QCEW,,
Downstream,2002,216974.7277730306,QCEW,,
Downstream,2003,211645.9299837748,QCEW,,
Downstream,2004,210432.40278879803,QCEW,,
Downstream,2005,208775.06699625653,QCEW,,
Downstream,2006,206478.07436879477,QCEW,,
Downstream,2007,204309.68500010174,QCEW,,
Downstream,2008,198611.59295272827,QCEW,,
Downstream,2009,179646.23037465411,QCEW,,
Downstream,2010,180735.81250254312,QCEW,,
Downstream,2011,187714.61084620157,QCEW,,
Downstream,2012,194269.29066594443,QCEW,,
Downstream,2013,200397.9054781596,QCEW,,
Downstream,2014,210050.88727823892,QCEW,,
Downstream,2015,217547.71697362262,QCEW,,
Downstream,2016,220883.18589528403,QCEW,,
Downstream,2017,222321.9301846822,QCEW,,
Downstream,2018,226562.07780456543,QCEW,,
Downstream,2019,229051.66566467285,QCEW,,
Downstream,2020,210261.23542785645,QCEW,,
Downstream,2021,218514.6236228943,QCEW,,
Downstream,2022,227476.0,QCEW,,
Downstream,2023,232636.0,QCEW,,
Downstream,2024,231829.0,QCEW,,
Downstream,2025,231986.36199184417,Forecast,BLS,0.0678784758784134
Downstream,2026,232143.83079861003,Forecast,BLS,0.0678784758784134
Downstream,2027,232301.40649280188,Forecast,BLS,0.0678784758784134
Downstream,2028,232459.0891469733,Forecast,BLS,0.0678784758784134
Downstream,2029,232616.87883372713,Forecast,BLS,0.0678784758784134
Downstream,2030,232774.77562571538,Forecast,BLS,0.0678784758784134
Downstream,2031,232932.77959563953,Forecast,BLS,0.0678784758784134
Downstream,2032,233090.89081625026,Forecast,BLS,0.0678784758784134
Downstream,2033,233249.10936034776,Forecast,BLS,0.0678784758784134
Downstream,2034,233407.43530078154,Forecast,BLS,0.0678784758784134
OEM,2001,304560.217147131,QCEW,,
OEM,2002,283406.75808675,QCEW,,
OEM,2003,262179.699551827,QCEW,,
OEM,2004,249830.080293171,QCEW,,
OEM,2005,232300.237573631,QCEW,,
OEM,2006,214104.81090332998,QCEW,,
OEM,2007,198274.73240926,QCEW,,
OEM,2008,167197.092141259,QCEW,,
OEM,2009,122770.48029532499,QCEW,,
OEM,2010,126211.92266444,QCEW,,
OEM,2011,137855.046912434,QCEW,,
OEM,2012,150376.085020857,QCEW,,
OEM,2013,160812.164740158,QCEW,,
OEM,2014,170591.252805092,QCEW,,
OEM,2015,166930.699725065,QCEW,,
OEM,2016,173614.206932086,QCEW,,
OEM,2017,180963.197128443,QCEW,,
OEM,2018,183253.799170734,QCEW,,
OEM,2019,181083.447259269,QCEW,,
OEM,2020,154982.927271249,QCEW,,
OEM,2021,175133.975417889,QCEW,,
OEM,2022,177409.453269932,QCEW,,
OEM,2023,179388.02117181302,QCEW,,
OEM,2024,173348.581020381,QCEW,,
OEM,2025,173570.23135544115,Forecast,BLS,0.1278639454418639
OEM,2026,173792.16510136478,Forecast,BLS,0.1278639454418639
OEM,2027,174014.3826205322,Forecast,BLS,0.1278639454418639
OEM,2028,174236.88427578713,Forecast,BLS,0.1278639454418639
OEM,2029,174459.67043043714,Forecast,BLS,0.1278639454418639
OEM,2030,174682.74144825435,Forecast,BLS,0.1278639454418639
OEM,2031,174906.0976934761,Forecast,BLS,0.1278639454418639
OEM,2032,175129.73953080538,Forecast,BLS,0.1278639454418639
OEM,2033,175353.66732541152,Forecast,BLS,0.1278639454418639
OEM,2034,175577.88144293078,Forecast,BLS,0.1278639454418639
Upstream,2001,15531.291111477,QCEW,,
Upstream,2002,14301.686463480999,QCEW,,
Upstream,2003,13815.577595825,QCEW,,
Upstream,2004,13916.400831207,QCEW,,
Upstream,2005,13845.120726927,QCEW,,
Upstream,2006,13440.129514147,QCEW,,
Upstream,2007,12811.704711004999,QCEW,,
Upstream,2008,12205.434202011,QCEW,,
Upstream,2009,9411.921174769,QCEW,,
Upstream,2010,9994.191463919,QCEW,,
Upstream,2011,11129.06674308,QCEW,,
Upstream,2012,11715.36168482,QCEW,,
Upstream,2013,11933.675616983,QCEW,,
Upstream,2014,12387.597036127,QCEW,,
Upstream,2015,12696.570305203999,QCEW,,
Upstream,2016,12719.915277494,QCEW,,
Upstream,2017,12834.685811553,QCEW,,
Upstream,2018,13120.431522388999,QCEW,,
Upstream,2019,12977.971179738,QCEW,,
Upstream,2020,11134.434704308,QCEW,,
Upstream,2021,11365.400447482,QCEW,,
Upstream,2022,11612.870160894,QCEW,,
Upstream,2023,11831.493951842,QCEW,,
Upstream,2024,11602.590562029,QCEW,,
Upstream,2025,11605.367776066501,Forecast,BLS,0.0239361547979655
Upstream,2026,11608.145654862254,Forecast,BLS,0.0239361547979655
Upstream,2027,11610.924198575374,Forecast,BLS,0.0239361547979655
Upstream,2028,11613.70340736502,Forecast,BLS,0.0239361547979655
Upstream,2029,11616.483281390383,Forecast,BLS,0.0239361547979655
Upstream,2030,11619.263820810696,Forecast,BLS,0.0239361547979655
Upstream,2031,11622.04502578523,Forecast,BLS,0.0239361547979655
Upstream,2032,11624.82689647329,Forecast,BLS,0.0239361547979655
Upstream,2033,11627.609433034226,Forecast,BLS,0.0239361547979655
Upstream,2034,11630.39263562742,Forecast,BLS,0.0239361547979655
